Size, Sortedness, Bubble (ns), Shaker (ns), Comb (ns)
Size: 10, Sortedness: 0.10, Bubble: 7000 ns, Shaker: 5000 ns, Comb: 6000 ns
Size: 10, Sortedness: 0.20, Bubble: 9000 ns, Shaker: 7000 ns, Comb: 9000 ns
Size: 10, Sortedness: 0.30, Bubble: 6000 ns, Shaker: 6000 ns, Comb: 5000 ns
Size: 10, Sortedness: 0.40, Bubble: 7000 ns, Shaker: 6000 ns, Comb: 5000 ns
Size: 10, Sortedness: 0.50, Bubble: 6000 ns, Shaker: 5000 ns, Comb: 6000 ns
Size: 10, Sortedness: 0.60, Bubble: 6000 ns, Shaker: 7000 ns, Comb: 6000 ns
Size: 10, Sortedness: 0.70, Bubble: 7000 ns, Shaker: 6000 ns, Comb: 6000 ns
Size: 10, Sortedness: 0.80, Bubble: 6000 ns, Shaker: 5000 ns, Comb: 6000 ns
Size: 10, Sortedness: 0.90, Bubble: 6000 ns, Shaker: 5000 ns, Comb: 5000 ns
Size: 10, Sortedness: 1.00, Bubble: 9000 ns, Shaker: 8000 ns, Comb: 8000 ns
Size: 100, Sortedness: 0.10, Bubble: 158000 ns, Shaker: 83000 ns, Comb: 89000 ns
Size: 100, Sortedness: 0.20, Bubble: 164000 ns, Shaker: 94000 ns, Comb: 55000 ns
Size: 100, Sortedness: 0.30, Bubble: 197000 ns, Shaker: 138000 ns, Comb: 57000 ns
Size: 100, Sortedness: 0.40, Bubble: 336000 ns, Shaker: 135000 ns, Comb: 71000 ns
Size: 100, Sortedness: 0.50, Bubble: 206000 ns, Shaker: 159000 ns, Comb: 66000 ns
Size: 100, Sortedness: 0.60, Bubble: 218000 ns, Shaker: 188000 ns, Comb: 59000 ns
Size: 100, Sortedness: 0.70, Bubble: 361000 ns, Shaker: 189000 ns, Comb: 59000 ns
Size: 100, Sortedness: 0.80, Bubble: 302000 ns, Shaker: 185000 ns, Comb: 64000 ns
Size: 100, Sortedness: 0.90, Bubble: 232000 ns, Shaker: 177000 ns, Comb: 62000 ns
Size: 100, Sortedness: 1.00, Bubble: 311000 ns, Shaker: 200000 ns, Comb: 58000 ns
Size: 1000, Sortedness: 0.10, Bubble: 13717000 ns, Shaker: 4335000 ns, Comb: 880000 ns
Size: 1000, Sortedness: 0.20, Bubble: 13876000 ns, Shaker: 4977000 ns, Comb: 566000 ns
Size: 1000, Sortedness: 0.30, Bubble: 11488000 ns, Shaker: 6734000 ns, Comb: 698000 ns
Size: 1000, Sortedness: 0.40, Bubble: 7121000 ns, Shaker: 4486000 ns, Comb: 355000 ns
Size: 1000, Sortedness: 0.50, Bubble: 8030000 ns, Shaker: 5269000 ns, Comb: 344000 ns
Size: 1000, Sortedness: 0.60, Bubble: 8054000 ns, Shaker: 5541000 ns, Comb: 338000 ns
Size: 1000, Sortedness: 0.70, Bubble: 8797000 ns, Shaker: 6539000 ns, Comb: 348000 ns
Size: 1000, Sortedness: 0.80, Bubble: 7945000 ns, Shaker: 4898000 ns, Comb: 264000 ns
Size: 1000, Sortedness: 0.90, Bubble: 6238000 ns, Shaker: 4676000 ns, Comb: 278000 ns
Size: 1000, Sortedness: 1.00, Bubble: 6233000 ns, Shaker: 4982000 ns, Comb: 281000 ns
Size: 10000, Sortedness: 0.10, Bubble: 321349000 ns, Shaker: 92914000 ns, Comb: 3143000 ns
Size: 10000, Sortedness: 0.20, Bubble: 408542000 ns, Shaker: 169195000 ns, Comb: 3144000 ns
Size: 10000, Sortedness: 0.30, Bubble: 422144000 ns, Shaker: 230415000 ns, Comb: 3168000 ns
Size: 10000, Sortedness: 0.40, Bubble: 479823000 ns, Shaker: 280836000 ns, Comb: 3296000 ns
Size: 10000, Sortedness: 0.50, Bubble: 561950000 ns, Shaker: 308616000 ns, Comb: 3090000 ns
Size: 10000, Sortedness: 0.60, Bubble: 540762000 ns, Shaker: 358332000 ns, Comb: 3178000 ns
Size: 10000, Sortedness: 0.70, Bubble: 586221000 ns, Shaker: 370835000 ns, Comb: 3202000 ns
Size: 10000, Sortedness: 0.80, Bubble: 557888000 ns, Shaker: 401597000 ns, Comb: 3369000 ns
Size: 10000, Sortedness: 0.90, Bubble: 570498000 ns, Shaker: 416498000 ns, Comb: 3318000 ns
Size: 10000, Sortedness: 1.00, Bubble: 575490000 ns, Shaker: 422885000 ns, Comb: 3222000 ns
Size: 20000, Sortedness: 0.10, Bubble: 1174687000 ns, Shaker: 370367000 ns, Comb: 6200000 ns
Size: 20000, Sortedness: 0.20, Bubble: 1463848000 ns, Shaker: 668072000 ns, Comb: 6564000 ns
Size: 20000, Sortedness: 0.30, Bubble: 1757152000 ns, Shaker: 929560000 ns, Comb: 6484000 ns
Size: 20000, Sortedness: 0.40, Bubble: 1888225000 ns, Shaker: 1093128000 ns, Comb: 6549000 ns
Size: 20000, Sortedness: 0.50, Bubble: 2047907000 ns, Shaker: 1266800000 ns, Comb: 6727000 ns
Size: 20000, Sortedness: 0.60, Bubble: 2141523000 ns, Shaker: 1375178000 ns, Comb: 6734000 ns
Size: 20000, Sortedness: 0.70, Bubble: 2234607000 ns, Shaker: 1537162000 ns, Comb: 6890000 ns
Size: 20000, Sortedness: 0.80, Bubble: 2392444000 ns, Shaker: 1686675000 ns, Comb: 6719000 ns
Size: 20000, Sortedness: 0.90, Bubble: 2393193000 ns, Shaker: 1653343000 ns, Comb: 6649000 ns
Size: 20000, Sortedness: 1.00, Bubble: 2327743000 ns, Shaker: 1714813000 ns, Comb: 6525000 ns
Size: 30000, Sortedness: 0.10, Bubble: 2667558000 ns, Shaker: 823371000 ns, Comb: 10966000 ns
